date,run_date,source_decision_date,model_protocol_version,model_code_sha,pipeline_run_date,pipeline_run_id,pipeline_run_attempt,execution_source_code_sha,execution_lineage_verified,price_source,price_session,p_tail,base_rate,edge,target_w_voo,action_reason,target_source,dry_run,accuracy_gate_passed,accuracy_gate_reason,publish_mode,final_pass,raw_val_auc,px_voo,px_ief,nav
2026-06-21,,,,,,,,,,,,0.182814,0.206668,0.023854,0.6,part7_current_target (w_voo=0.600),part7_current_target,True,False,Only 0 live realized obs (need 60),NORMAL,True,0.5843,681.41,94.02,1000.0
2026-06-22,,,,,,,,,,,,0.178339,0.206516,0.028178,0.6,part7_current_target (w_voo=0.600),part7_current_target,True,False,Only 1 live realized obs (need 60),NORMAL,True,0.5,681.41,94.02,1000.0
2026-06-23,,,,,,,,,,,,0.187545,0.206466,0.018921,0.6,part7_current_target (w_voo=0.600),part7_current_target,True,False,Only 3 live realized obs (need 60),NORMAL,True,0.5868,688.11,94.36,1000.0
2026-06-26,,,,,,,,,,,,0.181755,0.206854,0.025099,0.6,part7_current_target (w_voo=0.600),part7_current_target,True,False,Only 4 live realized obs (need 60),NORMAL,True,0.5,675.69,94.73,1000.0
2026-07-01,,,,,,,,,,,,0.184688,0.206897,0.022208,0.6,part7_current_target (w_voo=0.600),part7_current_target,True,False,Only 5 live realized obs (need 60),NORMAL,True,0.5,681.01,95.06,1000.0
2026-07-02,,,,,,,,,,,,0.19569,0.206897,0.011207,0.6,part7_current_target (w_voo=0.600),part7_current_target,True,False,Only 5 live realized obs (need 60),NORMAL,True,0.5848,686.81,94.259,1000.0
2026-07-03,,,,,,,,,,,,0.195705,0.206897,0.011192,0.6,part7_current_target (w_voo=0.600),part7_current_target,True,False,Only 6 live realized obs (need 60),NORMAL,True,0.5848,685.46,94.03,1000.0
2026-07-05,,,,,,,,,,,,0.19569,0.206795,0.011105,0.6,part7_current_target (w_voo=0.600),part7_current_target,True,False,Only 6 live realized obs (need 60),NORMAL,True,0.5824,685.46,94.03,1000.0
2026-07-07,,,,,,,,,,,,0.207439,0.206694,-0.000745,0.6,part7_current_target (w_voo=0.600),part7_current_target,True,False,Only 7 live realized obs (need 60),NORMAL,True,0.5,684.84,94.12,1000.0
2026-07-08,,,,,,,,,,,,0.201782,0.206694,0.004912,0.6,part7_current_target (w_voo=0.600),part7_current_target,True,False,Only 7 live realized obs (need 60),NORMAL,True,0.5825,690.62,94.18,1000.0
2026-07-09,,,,,,,,,,,,0.201688,0.206694,0.005006,0.6,part7_current_target (w_voo=0.600),part7_current_target,True,False,Only 8 live realized obs (need 60),NORMAL,True,0.583,687.08,93.7,1000.0
2026-07-10,,,,,,,,,,,,0.205623,0.206694,0.001071,0.6,part7_current_target (w_voo=0.600),part7_current_target,True,False,Only 8 live realized obs (need 60),NORMAL,True,0.5848,685.26,93.51,1000.0
2026-07-13,,,,,,,,,,,,0.209933,0.206493,-0.003441,0.6,part7_current_target (w_voo=0.600),part7_current_target,True,False,Only 8 live realized obs (need 60),NORMAL,True,0.5,690.69,93.71,1000.0
2026-07-14,,,,,,,,,,,,0.249331,0.206686,-0.042645,0.6,part7_current_target (w_voo=0.600),part7_current_target,True,False,Only 8 live realized obs (need 60),NORMAL,True,0.5,693.86,93.63,1000.0
2026-07-15,,,,,,,,,,,,0.213167,0.206636,-0.006532,0.6,part7_current_target (w_voo=0.600),part7_current_target,True,False,Only 9 live realized obs (need 60),NORMAL,True,0.5488,693.86,93.63,1000.0
2026-07-16,,,,,,,,,,,,0.217103,0.206636,-0.010467,0.6,part7_current_target (w_voo=0.600),part7_current_target,True,False,Only 10 live realized obs (need 60),NORMAL,True,0.571,691.1,93.55,1000.0
2026-07-17,,,,,,,,,,,,0.216289,0.206636,-0.009654,0.6,part7_current_target (w_voo=0.600),part7_current_target,True,False,Only 11 live realized obs (need 60),NORMAL,True,0.551,693.8,93.78,1000.0
2026-07-20,,,,,,,,,,,,0.214248,0.206972,-0.007276,0.6,part7_current_target (w_voo=0.600),part7_current_target,True,False,Only 11 live realized obs (need 60),NORMAL,True,0.5,690.14,93.72,1000.0
2026-07-21,,,,,,,,,,,,0.228401,0.206922,-0.021479,0.6,part7_current_target (w_voo=0.600),part7_current_target,True,False,Only 11 live realized obs (need 60),NORMAL,True,0.5,683.17,93.84,1000.0
2026-07-22,,,,,,,,,,,,0.237908,0.206871,-0.031037,0.6,part7_current_target (w_voo=0.600),part7_current_target,True,False,Only 12 live realized obs (need 60),NORMAL,True,0.5,682.21,93.54,1000.0
2026-07-23,,,,,,,,,,,,0.288218,0.206871,-0.081347,0.6,part7_current_target (w_voo=0.600),part7_current_target,True,False,Only 13 live realized obs (need 60),NORMAL,True,0.5,687.87,93.31,1000.0
2026-07-24,,,,,,,,,,,,0.288551,0.206871,-0.08168,0.6,part7_current_target (w_voo=0.600),part7_current_target,True,False,Only 14 live realized obs (need 60),NORMAL,True,0.5,687.03,93.1,1000.0
2026-07-27,,,,,,,,,,,,0.251622,0.206871,-0.044751,0.6,part7_current_target (w_voo=0.600),part7_current_target,True,False,Only 14 live realized obs (need 60),NORMAL,True,0.5,678.61,92.85,1000.0
2026-07-28,,,,,,,,,,,,0.25139,0.206871,-0.044519,0.6,part7_current_target (w_voo=0.600),part7_current_target,True,False,Only 14 live realized obs (need 60),NORMAL,True,0.5,679.14,93.03,1000.0
2026-07-29,,,,,,,,,,,,0.288542,0.206871,-0.081671,0.6,part7_current_target (w_voo=0.600),part7_current_target,True,False,Only 14 live realized obs (need 60),NORMAL,True,0.5,679.14,92.85,1000.0
