Date,publish_mode,final_pass,quality_ok,drift_ok,trial_gate_open,fused_gate_open,promotion_ready,alpha_state,alpha_state_display,alpha_live,current_alpha_live_status,current_alpha_reason,current_alpha_eligible,current_alpha_abs,drift_alarm,drift_rate,budget_mult,alpha_blockers,model_protocol_version,evidence_cohort
2026-06-17,NORMAL,1,1,1,1,1,1,SHADOW,SHADOW,0,SHADOW,ok,1,0.055869,0,0.0,1.0,NONE,legacy-pre-causal-integrity-v3,
2026-06-19,NORMAL,1,1,1,1,1,1,SHADOW,SHADOW,0,SHADOW,ok,1,0.043275,0,0.0,1.0,NONE,legacy-pre-causal-integrity-v3,
2026-06-22,NORMAL,1,1,1,1,1,1,SHADOW,SHADOW,0,SHADOW,ok,1,0.05796,0,0.0,1.0,NONE,legacy-pre-causal-integrity-v3,
2026-06-23,NORMAL,1,1,1,1,1,1,SHADOW,SHADOW,0,SHADOW,ok,1,0.057069,0,0.0,1.0,NONE,legacy-pre-causal-integrity-v3,
2026-06-26,NORMAL,1,1,1,1,1,1,SHADOW,SHADOW,0,SHADOW,ok,1,0.0558,0,0.0,1.0,NONE,legacy-pre-causal-integrity-v3,
2026-07-01,NORMAL,1,1,1,1,1,1,SHADOW,SHADOW,0,SHADOW,ok,1,0.060602,0,0.0,1.0,NONE,legacy-pre-causal-integrity-v3,
2026-07-03,NORMAL,1,1,1,1,1,1,SHADOW,SHADOW,0,SHADOW,ok,1,0.060211,0,0.0,1.0,NONE,legacy-pre-causal-integrity-v3,
2026-07-07,NORMAL,1,1,1,1,1,1,SHADOW,SHADOW,0,SHADOW,ok,1,0.0567,0,0.0,1.0,NONE,legacy-pre-causal-integrity-v3,
2026-07-13,NORMAL,1,1,1,1,1,1,SHADOW,SHADOW,0,SHADOW,ok,1,0.065018,0,0.0,1.0,NONE,legacy-pre-causal-integrity-v3,
2026-07-14,NORMAL,1,1,1,1,1,1,SHADOW,SHADOW,0,SHADOW,ok,1,0.068103,0,0.0,1.0,NONE,legacy-pre-causal-integrity-v3,
2026-07-15,NORMAL,1,1,1,1,1,1,SHADOW,SHADOW,0,SHADOW,ok,1,0.067628,0,0.0,1.0,NONE,legacy-pre-causal-integrity-v3,
2026-07-20,NORMAL,1,1,1,1,1,1,SHADOW,SHADOW,0,SHADOW,ok,1,0.067727,0,0.0,1.0,NONE,legacy-pre-causal-integrity-v3,
2026-07-21,NORMAL,1,1,1,1,1,1,SHADOW,SHADOW,0,SHADOW,ok,1,0.067604,0,0.0,1.0,NONE,legacy-pre-causal-integrity-v3,
2026-07-22,NORMAL,1,1,1,1,1,1,SHADOW,SHADOW,0,FLAT_VETOED,high_risk_veto,0,0.067915,0,0.0,1.0,NONE,legacy-pre-causal-integrity-v3,
2026-07-23,NORMAL,1,1,1,1,1,1,SHADOW,SHADOW,0,FLAT_VETOED,stale_tape,0,0.0,0,0.0,1.0,NONE,legacy-pre-causal-integrity-v3,
2026-08-10,NORMAL,1,1,1,1,1,1,SHADOW,SHADOW,0,SHADOW,ok,1,0.0594,0,0.0,1.0,NONE,legacy-pre-causal-integrity-v3,
2026-08-11,NORMAL,1,1,1,1,1,1,SHADOW,SHADOW,0,SHADOW,ok,1,0.061418,0,0.0,1.0,NONE,legacy-pre-causal-integrity-v3,
2026-08-12,NORMAL,1,1,1,1,1,1,SHADOW,SHADOW,0,SHADOW,ok,1,0.062239,0,0.0,1.0,NONE,legacy-pre-causal-integrity-v3,
2026-08-13,NORMAL,1,1,1,1,1,1,SHADOW,SHADOW,0,SHADOW,ok,1,0.047369,0,0.0,1.0,NONE,legacy-pre-causal-integrity-v3,
2026-08-14,NORMAL,1,1,1,1,1,1,SHADOW,SHADOW,0,SHADOW,ok,1,0.062324,0,0.0,1.0,NONE,legacy-pre-causal-integrity-v3,
2026-08-17,NORMAL,1,1,1,1,1,1,SHADOW,SHADOW,0,SHADOW,ok,1,0.07855,0,0.0,1.0,NONE,legacy-pre-causal-integrity-v3,
2026-08-18,NORMAL,1,1,1,1,1,1,SHADOW,SHADOW,0,SHADOW,ok,1,0.075008,0,0.0,1.0,NONE,legacy-pre-causal-integrity-v3,
2026-08-19,NORMAL,1,1,1,1,1,1,SHADOW,SHADOW,0,SHADOW,ok,1,0.07744,0,0.0,1.0,NONE,legacy-pre-causal-integrity-v3,
2026-08-20,FAIL_CLOSED_NEUTRAL,0,1,1,1,1,1,SHADOW,SHADOW,0,FLAT_VETOED,fail_closed_live_veto,0,0.081398,0,0.0,1.0,NONE,causal-integrity-v3,causal-integrity-v3
2026-08-20,FAIL_CLOSED_NEUTRAL,0,1,1,1,1,1,ELIGIBLE,CANDIDATE,0,FLAT_VETOED,fail_closed_live_veto,0,0.080836,0,0.0,1.0,NONE,legacy-pre-causal-integrity-v3,
2026-08-21,NORMAL,1,1,1,1,1,1,SHADOW,SHADOW,0,SHADOW,ok,1,0.08205,0,0.0,1.0,NONE,legacy-pre-causal-integrity-v3,
2026-08-24,NORMAL,1,1,1,1,1,1,SHADOW,SHADOW,0,SHADOW,ok,1,0.062549,0,0.0,1.0,NONE,legacy-pre-causal-integrity-v3,
2026-08-25,NORMAL,1,1,1,1,1,1,SHADOW,SHADOW,0,SHADOW,ok,1,0.0662,0,0.0,1.0,NONE,legacy-pre-causal-integrity-v3,
2026-08-26,NORMAL,1,1,1,1,1,1,ELIGIBLE,CANDIDATE,0,FLAT_VETOED,high_risk_veto,0,0.0,0,0.0,1.0,NONE,legacy-pre-causal-integrity-v3,
