Date,Ticker,weight,alpha_state,alpha_state_display,fusion_live,budget_mult,source_alpha_date,alpha_quality_ok,alpha_drift_ok,alpha_trial_gate_open,alpha_fused_gate_open,alpha_promotion_ready,alpha_blocker_text,part3_version,run_utc
2020-01-02,IEF_CORE,0.43198504704091134,SHADOW,SHADOW,0,0.0,2020-01-02,0,1,0,0,0,insufficient_history_for_candidate:1<26; rank_ic_not_positive:-0.1236568044670623; topk_net_not_positive:-0.0003278511717874; ir_not_positive:nan,V1,2026-03-12T06:56:06Z
2020-01-02,VOO_CORE,0.5680149529590887,SHADOW,SHADOW,0,0.0,2020-01-02,0,1,0,0,0,insufficient_history_for_candidate:1<26; rank_ic_not_positive:-0.1236568044670623; topk_net_not_positive:-0.0003278511717874; ir_not_positive:nan,V1,2026-03-12T06:56:06Z
2020-01-13,IEF_CORE,0.43198504704091134,SHADOW,SHADOW,0,0.0,2020-01-13,0,1,0,0,0,insufficient_history_for_candidate:8<26,V1,2026-03-12T06:56:06Z
2020-01-13,VOO_CORE,0.5680149529590887,SHADOW,SHADOW,0,0.0,2020-01-13,0,1,0,0,0,insufficient_history_for_candidate:8<26,V1,2026-03-12T06:56:06Z
2020-01-23,IEF_CORE,0.43198504704091134,SHADOW,SHADOW,0,0.0,2020-01-23,0,1,0,0,0,insufficient_history_for_candidate:15<26; topk_net_not_positive:-0.0001592822133109219; ir_not_positive:-1.4615021484508466,V1,2026-03-12T06:56:06Z
2020-01-23,VOO_CORE,0.5680149529590887,SHADOW,SHADOW,0,0.0,2020-01-23,0,1,0,0,0,insufficient_history_for_candidate:15<26; topk_net_not_positive:-0.0001592822133109219; ir_not_positive:-1.4615021484508466,V1,2026-03-12T06:56:06Z
2020-02-03,IEF_CORE,0.43198504704091134,SHADOW,SHADOW,0,0.0,2020-02-03,0,1,0,0,0,insufficient_history_for_candidate:22<26; topk_net_not_positive:-4.687869308506079e-05; ir_not_positive:-0.3608205725762057,V1,2026-03-12T06:56:06Z
2020-02-03,VOO_CORE,0.5680149529590887,SHADOW,SHADOW,0,0.0,2020-02-03,0,1,0,0,0,insufficient_history_for_candidate:22<26; topk_net_not_positive:-4.687869308506079e-05; ir_not_positive:-0.3608205725762057,V1,2026-03-12T06:56:06Z
2020-02-12,IEF_CORE,0.43198504704091134,ELIGIBLE,CANDIDATE,0,0.0,2020-02-12,1,1,0,0,0,NONE,V1,2026-03-12T06:56:06Z
2020-02-12,VOO_CORE,0.5680149529590887,ELIGIBLE,CANDIDATE,0,0.0,2020-02-12,1,1,0,0,0,NONE,V1,2026-03-12T06:56:06Z
2020-02-24,IEF_CORE,0.4,ELIGIBLE,CANDIDATE,0,0.0,2020-02-24,0,1,0,0,0,topk_net_not_positive:-3.809832716252835e-05; ir_not_positive:-0.26673758170170736,V1,2026-03-12T06:56:06Z
2020-02-24,VOO_CORE,0.6,ELIGIBLE,CANDIDATE,0,0.0,2020-02-24,0,1,0,0,0,topk_net_not_positive:-3.809832716252835e-05; ir_not_positive:-0.26673758170170736,V1,2026-03-12T06:56:06Z
2020-03-04,IEF_CORE,0.4,ELIGIBLE,CANDIDATE,0,0.0,2020-03-04,1,1,0,0,0,NONE,V1,2026-03-12T06:56:06Z
2020-03-04,VOO_CORE,0.6,ELIGIBLE,CANDIDATE,0,0.0,2020-03-04,1,1,0,0,0,NONE,V1,2026-03-12T06:56:06Z
2020-03-13,IEF_CORE,0.4,ELIGIBLE,CANDIDATE,0,0.0,,0,1,0,0,0,topk_net_not_positive:-0.00011891266946661484; ir_not_positive:-0.7882066210524514,V1,2026-03-12T06:56:06Z
2020-03-13,VOO_CORE,0.6,ELIGIBLE,CANDIDATE,0,0.0,,0,1,0,0,0,topk_net_not_positive:-0.00011891266946661484; ir_not_positive:-0.7882066210524514,V1,2026-03-12T06:56:06Z
2020-03-24,IEF_CORE,0.4,ELIGIBLE,CANDIDATE,0,0.0,,0,1,0,0,0,topk_net_not_positive:-0.00011891266946661484; ir_not_positive:-0.7882066210524514,V1,2026-03-12T06:56:06Z
2020-03-24,VOO_CORE,0.6,ELIGIBLE,CANDIDATE,0,0.0,,0,1,0,0,0,topk_net_not_positive:-0.00011891266946661484; ir_not_positive:-0.7882066210524514,V1,2026-03-12T06:56:06Z
2020-04-02,IEF_CORE,0.7,ELIGIBLE,CANDIDATE,0,0.0,,0,1,0,0,0,topk_net_not_positive:-0.00010028928302323536; ir_not_positive:-0.6650813092211999,V1,2026-03-12T06:56:06Z
2020-04-02,VOO_CORE,0.3,ELIGIBLE,CANDIDATE,0,0.0,,0,1,0,0,0,topk_net_not_positive:-0.00010028928302323536; ir_not_positive:-0.6650813092211999,V1,2026-03-12T06:56:06Z
2020-04-14,IEF_CORE,0.7,ELIGIBLE,CANDIDATE,0,0.0,,0,1,0,0,0,topk_net_not_positive:-0.00010028928302323536; ir_not_positive:-0.6650813092211999,V1,2026-03-12T06:56:06Z
2020-04-14,VOO_CORE,0.3,ELIGIBLE,CANDIDATE,0,0.0,,0,1,0,0,0,topk_net_not_positive:-0.00010028928302323536; ir_not_positive:-0.6650813092211999,V1,2026-03-12T06:56:06Z
2020-04-23,IEF_CORE,0.7,ELIGIBLE,CANDIDATE,0,0.0,,0,1,0,0,0,topk_net_not_positive:-0.00010028928302323536; ir_not_positive:-0.6650813092211999,V1,2026-03-12T06:56:06Z
2020-04-23,VOO_CORE,0.3,ELIGIBLE,CANDIDATE,0,0.0,,0,1,0,0,0,topk_net_not_positive:-0.00010028928302323536; ir_not_positive:-0.6650813092211999,V1,2026-03-12T06:56:06Z
2020-05-04,IEF_CORE,0.5131069230743095,ELIGIBLE,CANDIDATE,0,0.0,2020-05-04,0,1,0,0,0,topk_net_not_positive:-8.201030776241627e-05; ir_not_positive:-0.5440885825677593,V1,2026-03-12T06:56:06Z
2020-05-04,VOO_CORE,0.4868930769256905,ELIGIBLE,CANDIDATE,0,0.0,2020-05-04,0,1,0,0,0,topk_net_not_positive:-8.201030776241627e-05; ir_not_positive:-0.5440885825677593,V1,2026-03-12T06:56:06Z
2020-05-13,IEF_CORE,0.4,ELIGIBLE,CANDIDATE,0,0.0,,0,1,0,0,0,topk_net_not_positive:-9.173761163029796e-05; ir_not_positive:-0.6131229434398767,V1,2026-03-12T06:56:06Z
2020-05-13,VOO_CORE,0.6,ELIGIBLE,CANDIDATE,0,0.0,,0,1,0,0,0,topk_net_not_positive:-9.173761163029796e-05; ir_not_positive:-0.6131229434398767,V1,2026-03-12T06:56:06Z
2020-05-22,IEF_CORE,0.4,ELIGIBLE,CANDIDATE,0,0.0,,0,1,0,0,0,topk_net_not_positive:-9.173761163029796e-05; ir_not_positive:-0.6131229434398767,V1,2026-03-12T06:56:06Z
2020-05-22,VOO_CORE,0.6,ELIGIBLE,CANDIDATE,0,0.0,,0,1,0,0,0,topk_net_not_positive:-9.173761163029796e-05; ir_not_positive:-0.6131229434398767,V1,2026-03-12T06:56:06Z
2020-06-03,IEF_CORE,0.48425838367393204,ELIGIBLE,CANDIDATE,0,0.0,,0,1,1,0,0,topk_net_not_positive:-1.2797023184501844e-05; ir_not_positive:-0.08231619162800127,V1,2026-03-12T06:56:06Z
2020-06-03,VOO_CORE,0.515741616326068,ELIGIBLE,CANDIDATE,0,0.0,,0,1,1,0,0,topk_net_not_positive:-1.2797023184501844e-05; ir_not_positive:-0.08231619162800127,V1,2026-03-12T06:56:06Z
2020-06-12,IEF_CORE,0.48425838367393204,LIVE_TRIAL,LIVE_TRIAL,1,0.5,2020-06-12,1,1,1,0,1,NONE,V1,2026-03-12T06:56:06Z
2020-06-12,SMH,0.02,LIVE_TRIAL,LIVE_TRIAL,1,0.5,2020-06-12,1,1,1,0,1,NONE,V1,2026-03-12T06:56:06Z
2020-06-12,VOO_CORE,0.49574161632606795,LIVE_TRIAL,LIVE_TRIAL,1,0.5,2020-06-12,1,1,1,0,1,NONE,V1,2026-03-12T06:56:06Z
2020-06-23,IEF_CORE,0.48425838367393204,LIVE_TRIAL,LIVE_TRIAL,1,0.5,2020-06-23,1,1,1,0,1,NONE,V1,2026-03-12T06:56:06Z
2020-06-23,SMH,0.02,LIVE_TRIAL,LIVE_TRIAL,1,0.5,2020-06-23,1,1,1,0,1,NONE,V1,2026-03-12T06:56:06Z
2020-06-23,VOO_CORE,0.49574161632606795,LIVE_TRIAL,LIVE_TRIAL,1,0.5,2020-06-23,1,1,1,0,1,NONE,V1,2026-03-12T06:56:06Z
2020-07-02,IEF_CORE,0.4,LIVE_TRIAL,LIVE_TRIAL,1,0.5,2020-07-02,1,1,1,0,1,NONE,V1,2026-03-12T06:56:06Z
2020-07-02,SMH,0.02,LIVE_TRIAL,LIVE_TRIAL,1,0.5,2020-07-02,1,1,1,0,1,NONE,V1,2026-03-12T06:56:06Z
2020-07-02,VOO_CORE,0.58,LIVE_TRIAL,LIVE_TRIAL,1,0.5,2020-07-02,1,1,1,0,1,NONE,V1,2026-03-12T06:56:06Z
2020-07-14,IEF_CORE,0.4,LIVE_TRIAL,LIVE_TRIAL,1,0.5,2020-07-14,1,1,1,0,1,NONE,V1,2026-03-12T06:56:06Z
2020-07-14,SMH,0.02,LIVE_TRIAL,LIVE_TRIAL,1,0.5,2020-07-14,1,1,1,0,1,NONE,V1,2026-03-12T06:56:06Z
2020-07-14,VOO_CORE,0.58,LIVE_TRIAL,LIVE_TRIAL,1,0.5,2020-07-14,1,1,1,0,1,NONE,V1,2026-03-12T06:56:06Z
2020-07-23,IEF_CORE,0.4562886144655436,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-07-23,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-07-23,SMH,0.04,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-07-23,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-07-23,VOO_CORE,0.5037113855344564,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-07-23,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-08-03,IEF_CORE,0.4562886144655436,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-08-03,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-08-03,SMH,0.04,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-08-03,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-08-03,VOO_CORE,0.5037113855344564,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-08-03,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-08-12,IEF_CORE,0.4562886144655436,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-08-12,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-08-12,SMH,0.04,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-08-12,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-08-12,VOO_CORE,0.5037113855344564,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-08-12,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-08-21,IEF_CORE,0.4562886144655436,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-08-21,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-08-21,SMH,0.04,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-08-21,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-08-21,VOO_CORE,0.5037113855344564,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-08-21,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-09-01,IEF_CORE,0.4562886144655436,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-09-01,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-09-01,SMH,0.04,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-09-01,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-09-01,VOO_CORE,0.5037113855344564,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-09-01,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-09-11,IEF_CORE,0.4,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-09-11,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-09-11,SMH,0.04,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-09-11,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-09-11,VOO_CORE,0.5599999999999999,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-09-11,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-09-22,IEF_CORE,0.4,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-09-22,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-09-22,SMH,0.04,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-09-22,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-09-22,VOO_CORE,0.5599999999999999,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-09-22,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-10-01,IEF_CORE,0.4,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-10-01,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-10-01,SMH,0.04,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-10-01,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-10-01,VOO_CORE,0.5599999999999999,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-10-01,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-10-12,IEF_CORE,0.4,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-10-12,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-10-12,SMH,0.04,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-10-12,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-10-12,VOO_CORE,0.5599999999999999,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-10-12,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-10-21,IEF_CORE,0.5412936937653938,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-10-21,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-10-21,SMH,0.04,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-10-21,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-10-21,VOO_CORE,0.4187063062346062,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-10-21,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-10-30,IEF_CORE,0.4,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-10-30,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
