built_at,total_estimated_cost_dollars,total_estimated_cost_bps,annual_tc_drag_bps,Date,w_target_voo,w_target_ief,protocol_version,lineage_verified,pipeline_run_date,pipeline_run_id,pipeline_run_attempt,source_code_sha,allocation_source
2026-06-21T16:54:52.714629+00:00,0.0,0.0,0.2553,2026-06-17,0.6,0.4,,,,,,,
2026-06-22T17:30:20.504994+00:00,0.0,0.0,0.4865,2026-06-19,0.6,0.4,,,,,,,
2026-06-23T23:05:52.862262+00:00,0.0,0.0,0.3705,2026-06-22,0.6,0.4,,,,,,,
2026-06-26T00:59:05.062848+00:00,0.0,0.0,0.395,2026-06-23,0.6,0.4,,,,,,,
2026-07-01T19:29:32.423118+00:00,0.0,0.0,0.3954,2026-06-26,0.6,0.4,,,,,,,
2026-07-05T14:13:28.754629+00:00,0.0,0.0,0.3175,2026-07-01,0.6,0.4,,,,,,,
2026-07-07T14:21:49.311907+00:00,0.0,0.0,0.3551,2026-07-03,0.6,0.4,,,,,,,
2026-07-13T14:16:42.307388+00:00,0.0,0.0,0.5055,2026-07-07,0.6,0.4,,,,,,,
2026-07-14T13:16:48.851400+00:00,0.0,0.0,0.3037,2026-07-13,0.6,0.4,,,,,,,
2026-07-15T13:24:16.789910+00:00,0.0,0.0,0.4046,2026-07-14,0.6,0.4,,,,,,,
2026-07-20T14:04:09.622005+00:00,0.0,0.0,0.5672,2026-07-15,0.6,0.4,,,,,,,
2026-07-21T13:30:46.757188+00:00,0.0,0.0,0.4292,2026-07-20,0.6,0.4,,,,,,,
2026-07-22T13:36:38.074702+00:00,0.0,0.0,0.3911,2026-07-21,0.6,0.4,,,,,,,
2026-08-05T13:47:53.561382+00:00,0.0,0.0,0.4664,2026-07-22,0.6,0.4,,,,,,,
2026-08-10T12:59:20.341004+00:00,0.03,0.273,0.3126,2026-07-23,0.6,0.4,,,,,,,
2026-08-11T12:53:57.894429+00:00,0.03,0.273,0.4645,2026-08-10,0.3499999999914959,0.6500000000085041,,,,,,,
2026-08-12T12:57:31.215478+00:00,0.0,0.0,0.3509,2026-08-11,0.6,0.4,,,,,,,
2026-08-13T13:00:21.334406+00:00,0.0,0.0,0.3881,2026-08-12,0.6,0.4,,,,,,,
2026-08-14T12:55:39.020314+00:00,0.0,0.0,0.3616,2026-08-13,0.6,0.4,,,,,,,
2026-08-17T12:37:24.122725+00:00,0.02,0.196,0.2867,2026-08-14,0.4200000000048112,0.5799999999951888,,,,,,,
2026-08-18T12:31:16.743951+00:00,0.0,0.0,0.362,2026-08-17,0.6,0.4,,,,,,,
2026-08-19T12:38:23.999827+00:00,0.0,0.0,0.3609,2026-08-18,0.6,0.4,,,,,,,
2026-08-20T12:34:11.115014+00:00,0.0,0.0,0.2488,2026-08-19,0.6,0.4,,,,,,,
2026-09-04T02:24:34.137452+00:00,0.0,0.0,,2026-08-20,0.6,0.4,,,,,,,
2026-08-21T13:50:48.562743+00:00,0.02,0.196,0.4232,2026-08-21,0.420000000008653,0.579999999991347,,,,,,,
2026-08-25T12:39:31.650256+00:00,0.03,0.273,0.2626,2026-08-24,0.349999999993729,0.6500000000062711,,,,,,,
2026-08-26T12:40:48.820266+00:00,0.0,0.0,0.1859,2026-08-25,0.6,0.4,,,,,,,
2026-09-02T18:34:20.868851+00:00,0.03,0.272,,2026-08-26,0.6,0.4,,,,,,,
2026-09-11T19:01:55.551328+00:00,0.0,0.0,,2026-09-04,0.6,0.4,,,,,,,
2026-09-11T23:15:13.737308+00:00,0.0,0.0,,2026-09-10,0.6,0.4,,,,,,,
2026-09-12T23:02:27.858563+00:00,0.0,0.0,,2026-09-11,0.6,0.4,causal-integrity-v3,True,2026-09-11,34723082396.0,1.0,a69123c9fb15815e249945dfe5882a0cad29a460,v1_fusion_allocations
2026-09-15T00:00:44.062579+00:00,0.0,0.0,,2026-09-14,0.6,0.4,causal-integrity-v3,True,2026-09-14,34908981925.0,1.0,6fc3f6a5952c85b7d577d3a6064ec53c75013c00,v1_fusion_allocations
2026-09-15T23:47:28.956442+00:00,0.0,0.0,,2026-09-15,0.6,0.4,causal-integrity-v3,True,2026-09-15,35034424479.0,1.0,7258e3f484bbc0f738f851ccd03a28390cc62a0c,v1_fusion_allocations
2026-09-16T23:56:29.922213+00:00,0.0,0.0,,2026-09-16,0.6,0.4,causal-integrity-v3,True,2026-09-16,35161390930.0,1.0,62e2924ef43094cdd8fffe4b835d96d2a9ed7a31,v1_fusion_allocations
2026-09-17T23:44:41.193602+00:00,0.0,0.0,,2026-09-17,0.6,0.4,causal-integrity-v3,True,2026-09-17,35285215843.0,1.0,257111450c730f1270deb544e09cef585ff92d73,v1_fusion_allocations
2026-09-18T23:27:04.346589+00:00,0.0,0.0,,2026-09-18,0.6,0.4,causal-integrity-v3,True,2026-09-18,35403150469.0,1.0,edfb92ce5498f19e17e14a9fdcce33ebba04e9b7,v1_fusion_allocations
2026-09-22T00:05:12.124351+00:00,0.0,0.0,,2026-09-21,0.6,0.4,causal-integrity-v3,True,2026-09-21,35668338734.0,1.0,7ba3a4769a01198350ff72572761f338a3187aab,v1_fusion_allocations
2026-09-22T23:54:37.335643+00:00,0.0,0.0,,2026-09-22,0.6,0.4,causal-integrity-v3,True,2026-09-22,35796548754,1,7bff4bc2b74cd2d6f5e0f43e99228154bfce70d5,v1_fusion_allocations
