Date,GovMode,GovReason,gov_scale,alpha_eff_final,GovHealthScore_live,GovHealthScore_realized,ZeRO_Active_End,ZeRO_Scale_End,FRIC_Fails_Streak_End,PR_Fails_Streak_End,STALE_Streak_End,FRIC_Soft_End,PR_Soft_End,STALE_Mode_End,Lift_End,dES_P_End,AnnCostDrag_Roll,TurnEff_Roll,TooGood_Alarm_End,TooGood_Streak_End,part3_version,tape_source,run_utc
2021-06-03,ACTIVE,OK,1.0,0.45,1.0,,0,1.0,0,0,0,0,0,0,,,0.000916674971747434,0.025463193659650944,0,0,V14.1,/home/runner/work/Price-Call/Price-Call/artifacts_part2_v77/predictions/v77_final_consensus_tape.csv,2026-03-08T08:08:24Z
2021-06-14,ACTIVE,OK,1.0,0.45,1.0,,0,1.0,0,0,0,0,0,0,,,0.000916674971747434,0.025463193659650944,0,0,V14.1,/home/runner/work/Price-Call/Price-Call/artifacts_part2_v77/predictions/v77_final_consensus_tape.csv,2026-03-08T08:08:24Z
2021-06-23,ACTIVE,OK,1.0,0.45,1.0,,0,1.0,0,0,0,0,0,0,,,0.000916674971747434,0.025463193659650944,0,0,V14.1,/home/runner/work/Price-Call/Price-Call/artifacts_part2_v77/predictions/v77_final_consensus_tape.csv,2026-03-08T08:08:24Z
2021-07-02,ACTIVE,OK,1.0,0.45,1.0,,0,1.0,0,0,0,0,0,0,,,0.000916674971747434,0.025463193659650944,0,0,V14.1,/home/runner/work/Price-Call/Price-Call/artifacts_part2_v77/predictions/v77_final_consensus_tape.csv,2026-03-08T08:08:24Z
2021-07-14,ACTIVE,OK,1.0,0.45,1.0,,0,1.0,0,0,0,0,0,0,,,0.000916674971747434,0.025463193659650944,0,0,V14.1,/home/runner/work/Price-Call/Price-Call/artifacts_part2_v77/predictions/v77_final_consensus_tape.csv,2026-03-08T08:08:24Z
2021-07-23,ACTIVE,OK,1.0,0.45,1.0,,0,1.0,0,0,0,0,0,0,,,0.000916674971747434,0.025463193659650944,0,0,V14.1,/home/runner/work/Price-Call/Price-Call/artifacts_part2_v77/predictions/v77_final_consensus_tape.csv,2026-03-08T08:08:24Z
2021-08-03,ACTIVE,OK,1.0,0.45,1.0,,0,1.0,0,0,0,0,0,0,,,0.000916674971747434,0.025463193659650944,0,0,V14.1,/home/runner/work/Price-Call/Price-Call/artifacts_part2_v77/predictions/v77_final_consensus_tape.csv,2026-03-08T08:08:24Z
2021-08-12,ACTIVE,OK,1.0,0.45,1.0,,0,1.0,0,0,0,0,0,0,,,0.000916674971747434,0.025463193659650944,0,0,V14.1,/home/runner/work/Price-Call/Price-Call/artifacts_part2_v77/predictions/v77_final_consensus_tape.csv,2026-03-08T08:08:24Z
2021-08-23,ACTIVE,OK,1.0,0.45,1.0,,0,1.0,0,0,0,0,0,0,,,0.000916674971747434,0.025463193659650944,0,0,V14.1,/home/runner/work/Price-Call/Price-Call/artifacts_part2_v77/predictions/v77_final_consensus_tape.csv,2026-03-08T08:08:24Z
2021-09-01,ACTIVE,OK,1.0,0.45,1.0,,0,1.0,0,0,0,0,0,0,,,0.000916674971747434,0.025463193659650944,0,0,V14.1,/home/runner/work/Price-Call/Price-Call/artifacts_part2_v77/predictions/v77_final_consensus_tape.csv,2026-03-08T08:08:24Z
2021-09-13,ACTIVE,OK,1.0,0.45,1.0,,0,1.0,0,0,0,0,0,0,,,0.0007388936604795372,0.020524823902209367,0,0,V14.1,/home/runner/work/Price-Call/Price-Call/artifacts_part2_v77/predictions/v77_final_consensus_tape.csv,2026-03-08T08:08:24Z
2021-09-22,ACTIVE,OK,1.0,0.45,1.0,,0,1.0,0,0,0,0,0,0,,,0.0007388936604795372,0.020524823902209367,0,0,V14.1,/home/runner/work/Price-Call/Price-Call/artifacts_part2_v77/predictions/v77_final_consensus_tape.csv,2026-03-08T08:08:24Z
2021-10-01,ACTIVE,OK,1.0,0.45,1.0,,0,1.0,0,0,0,0,0,0,,,0.0007388936604795372,0.020524823902209367,0,0,V14.1,/home/runner/work/Price-Call/Price-Call/artifacts_part2_v77/predictions/v77_final_consensus_tape.csv,2026-03-08T08:08:24Z
2021-10-12,ACTIVE,OK,1.0,0.45,1.0,,0,1.0,0,0,0,0,0,0,,,0.0006224448164498591,0.017290133790273866,0,0,V14.1,/home/runner/work/Price-Call/Price-Call/artifacts_part2_v77/predictions/v77_final_consensus_tape.csv,2026-03-08T08:08:24Z
2021-10-21,ACTIVE,OK,1.0,0.45,1.0,,0,1.0,0,0,0,0,0,0,,,0.0005519705835564603,0.015332516209901673,0,0,V14.1,/home/runner/work/Price-Call/Price-Call/artifacts_part2_v77/predictions/v77_final_consensus_tape.csv,2026-03-08T08:08:24Z
2021-11-01,ACTIVE,OK,1.0,0.45,1.0,,0,1.0,0,0,0,0,0,0,,,0.0005519705835564603,0.015332516209901673,0,0,V14.1,/home/runner/work/Price-Call/Price-Call/artifacts_part2_v77/predictions/v77_final_consensus_tape.csv,2026-03-08T08:08:24Z
2021-11-10,ACTIVE,OK,1.0,0.45,1.0,,0,1.0,0,0,0,0,0,0,,,0.0004994677918469717,0.013874105329082547,0,0,V14.1,/home/runner/work/Price-Call/Price-Call/artifacts_part2_v77/predictions/v77_final_consensus_tape.csv,2026-03-08T08:08:24Z
2021-11-19,ACTIVE,OK,1.0,0.45,1.0,,0,1.0,0,0,0,0,0,0,,,0.0004994677918469717,0.013874105329082547,0,0,V14.1,/home/runner/work/Price-Call/Price-Call/artifacts_part2_v77/predictions/v77_final_consensus_tape.csv,2026-03-08T08:08:24Z
2021-12-01,ACTIVE,OK,1.0,0.45,1.0,,0,1.0,0,0,0,0,0,0,,,0.0004994677918469717,0.013874105329082547,0,0,V14.1,/home/runner/work/Price-Call/Price-Call/artifacts_part2_v77/predictions/v77_final_consensus_tape.csv,2026-03-08T08:08:24Z
2021-12-10,ACTIVE,OK,1.0,0.45,1.0,,0,1.0,0,0,0,0,0,0,,,0.0004732163959922275,0.013144899888672986,0,0,V14.1,/home/runner/work/Price-Call/Price-Call/artifacts_part2_v77/predictions/v77_final_consensus_tape.csv,2026-03-08T08:08:24Z
2021-12-21,ACTIVE,OK,1.0,0.45,1.0,,0,1.0,0,0,0,0,0,0,,,0.0004732163959922275,0.013144899888672986,0,0,V14.1,/home/runner/work/Price-Call/Price-Call/artifacts_part2_v77/predictions/v77_final_consensus_tape.csv,2026-03-08T08:08:24Z
2021-12-31,ACTIVE,OK,1.0,0.45,1.0,,0,1.0,0,0,0,0,0,0,,,0.0004556760836601053,0.01265766899055848,0,0,V14.1,/home/runner/work/Price-Call/Price-Call/artifacts_part2_v77/predictions/v77_final_consensus_tape.csv,2026-03-08T08:08:24Z
2022-01-11,ACTIVE,OK,1.0,0.45,1.0,,0,1.0,0,0,0,0,0,0,,,0.0004556760836601053,0.01265766899055848,0,0,V14.1,/home/runner/work/Price-Call/Price-Call/artifacts_part2_v77/predictions/v77_final_consensus_tape.csv,2026-03-08T08:08:24Z
2022-01-21,ACTIVE,OK,1.0,0.45,1.0,,0,1.0,0,0,0,0,0,0,,,0.0005430619781609945,0.015085054948916515,0,0,V14.1,/home/runner/work/Price-Call/Price-Call/artifacts_part2_v77/predictions/v77_final_consensus_tape.csv,2026-03-08T08:08:24Z
2022-02-01,ACTIVE,OK,1.0,0.45,1.0,,0,1.0,0,0,0,0,0,0,,,0.0008052196616636624,0.01751244090727455,0,0,V14.1,/home/runner/work/Price-Call/Price-Call/artifacts_part2_v77/predictions/v77_final_consensus_tape.csv,2026-03-08T08:08:24Z
2022-02-10,ACTIVE,OK,1.0,0.45,1.0,,0,1.0,0,0,0,0,0,0,,,0.0009362958139058258,0.021153445136223532,0,0,V14.1,/home/runner/work/Price-Call/Price-Call/artifacts_part2_v77/predictions/v77_final_consensus_tape.csv,2026-03-08T08:08:24Z
2022-02-22,ACTIVE,OK,1.0,0.45,1.0,,0,1.0,0,0,0,0,0,0,,,0.0013119839583001934,0.02430721846705801,0,0,V14.1,/home/runner/work/Price-Call/Price-Call/artifacts_part2_v77/predictions/v77_final_consensus_tape.csv,2026-03-08T08:08:24Z
